package_name	version	tarball_url	source_tree_sha256	tarball_sha256	selection_reason	binding_family	size_bucket	prior_status	n_cpp_files
@camol/file-lock	1.1.4	https://registry.npmjs.org/@camol/file-lock/-/file-lock-1.1.4.tgz	cc69f81195ac881e7c25eb193dff51a68979c237b859cf1b47555c4a9d454c14	fc9e6950426ee6fa38500a82f9c651df4305f2a69890d4b65e0984a8897000cd	stratified_fill	node-addon-api	small	ANALYZED	1
@cdktf/node-pty-prebuilt-multiarch	0.10.2	https://registry.npmjs.org/@cdktf/node-pty-prebuilt-multiarch/-/node-pty-prebuilt-multiarch-0.10.2.tgz	3cc0561cfb66d8e0d5796f970ce95b32d4cc8db6ce8bfb0055d11b37c218b16e	2e059252577870632030ac556c5ef8efc244fe5918b83a69c06a3058fb3f2f33	stratified_fill	nan	large	ANALYZED	87
@cerebruminc/i420-jpeg-encoder	1.2.1	https://registry.npmjs.org/@cerebruminc/i420-jpeg-encoder/-/i420-jpeg-encoder-1.2.1.tgz	a05593ae46e30d05d76730a0ff2325148f086d0611db415fb2c1006b12d2775e	1fe6fb59e6db1bd093f669799de94a06d2a8f742f47ae377a4e0cd1bf3fec82c	stratified_fill	node-addon-api	small	ANALYZED	1
@cherrystudio/mac-system-ocr	0.2.7	https://registry.npmjs.org/@cherrystudio/mac-system-ocr/-/mac-system-ocr-0.2.7.tgz	7b4d971ea34739d07ed1f7ee0add7fb1c253afb697572d7f6dc13796ffc4bb0d	b5981dcc539b7074fc8de029d72112c776cb9b9335df4deb47e901d04d52406a	stratified_fill	none	small	ANALYZED	1
@choysen/mac-system-ocr	0.2.8	https://registry.npmjs.org/@choysen/mac-system-ocr/-/mac-system-ocr-0.2.8.tgz	0ccf0b7ebe00ae4b708a61e3f1f6f91e43804a4f12ab0135b1eecafdd51a321b	843f11afd15deecd307d3842226d1921a4f15f2f389b64a7e8c079a9b1c94d6f	stratified_fill	none	small	ANALYZED	1
@co_snow/hello	0.0.57	https://registry.npmjs.org/@co_snow/hello/-/hello-0.0.57.tgz	ba7841fbbe394b7a21e1f1c1f29d22e87a23b26aa79ca2d4d57396130680dc13	ca67605c70222af97135c23bdc2b1d77824b4d9dc205860402cbf383d0e119e6	stratified_fill	node-addon-api	small	ANALYZED	1
@cocktailpeanut/node-pty-prebuilt-multiarch	0.11.16	https://registry.npmjs.org/@cocktailpeanut/node-pty-prebuilt-multiarch/-/node-pty-prebuilt-multiarch-0.11.16.tgz	75b82a72b6566a13365095e55206b8e81ee7cc0abc6af8539e1d6d413ce9e4dc	cf949df4cca97be47e6694577e75e9ba687f848c0818455c3dfa8c0c8f6cc86b	stratified_fill	node-addon-api	large	ANALYZED	88
@codeplaydata/dbc2dbf	1.1.0	https://registry.npmjs.org/@codeplaydata/dbc2dbf/-/dbc2dbf-1.1.0.tgz	cdd6edbc5e302d7c6e6fcd94338de40fcd2932fa83e60b8dcf7cd3097464f866	335f6d89967bc3c68000554cf69e2ba7426ed80352e58b3573eafa52b24bbb5f	stratified_fill	node-addon-api	medium	ANALYZED	13
@codeporter/robotjs	0.6.0	https://registry.npmjs.org/@codeporter/robotjs/-/robotjs-0.6.0.tgz	cf776883d5941d0231e4b812b03ffff3e61b81816ea599ebf2d53d3074174a7a	223ecffff36de50a51820d926911d61bec709810ff47e24df25ef70ef1929d66	stratified_fill	none	large	ANALYZED	22
@confluentinc/kafka-javascript	1.10.0	https://registry.npmjs.org/@confluentinc/kafka-javascript/-/kafka-javascript-1.10.0.tgz	e6e52e3cf28a8b293e7a44f1a381e7684142595013bcfa13d050ff7722c1c8ae	34a088e303707ea995d7453c832920bfd02106488cd055813b7c21fc9e6d337c	stratified_fill	none	large	RESOURCE_LIMIT	301
@damonsmith/node-printer	0.7.3	https://registry.npmjs.org/@damonsmith/node-printer/-/node-printer-0.7.3.tgz	f253c5ff091d2226d60ef49aae57819b6f205923cee5997cf1bb423b4adb5145	7d60b81ecdb8365460f85e3447af8de4a69767b8dac09beb35239ff4e8dcb293	stratified_fill	nan	small	ANALYZED	3
@deepfocus/get-windows	1.0.21	https://registry.npmjs.org/@deepfocus/get-windows/-/get-windows-1.0.21.tgz	ce1c37884bc611115991fa0bff554f0dcfce12a3b2e3468cfd6aa550fe7a6617	d2214edfbc7254cde5381c5522f3af712fe139b654a66b9fc4c62e66e6dc0ec2	stratified_fill	node-addon-api	small	ANALYZED	1
@depup/node-addon-api	8.9.2-depup.0	https://registry.npmjs.org/@depup/node-addon-api/-/node-addon-api-8.9.2-depup.0.tgz	7ddb6662bde4aeaad331dc317da645825b532ecaa937a938f9605905776472cb	2e2c78e395de7b9ab11b4df11999ab2dda6e0b11f8571e907f3f492926416e7d	stratified_fill	node-addon-api	small	ANALYZED	1
@discordjs/opus	0.10.0	https://registry.npmjs.org/@discordjs/opus/-/opus-0.10.0.tgz	04d4f890c706a7715033489b6c9da363d48438eb53e237c17772c9f671deb6b5	f1db4f4ed6df3e2e4ae06d9cf07c5ef1e447f76189777caa1e556bcf1bad4d3f	stratified_fill	none	large	ANALYZED	206
@dolthub/doltlite	0.11.55	https://registry.npmjs.org/@dolthub/doltlite/-/doltlite-0.11.55.tgz	0b249cb387238ee13fec6425d0634356c9fa8f1ff0ac11c55392967a1a7dabf6	33381515b5e51d689aada02c1edcdbd1a577ec1d40440872b64e4c9198d5d313	stratified_fill	node-addon-api	medium	ANALYZED	4
@dwieeb/node-pty-prebuilt	0.8.1	https://registry.npmjs.org/@dwieeb/node-pty-prebuilt/-/node-pty-prebuilt-0.8.1.tgz	3811e270d75b532c7e5fc920288cd5dbe4de12f5691421f20de500f0f995713e	ebfbca68baecdef140465ec4e007d51d0c1c189abdd25f445790e8164eef0d30	stratified_fill	nan	large	ANALYZED	87
@elchetz/cld	2.8.5	https://registry.npmjs.org/@elchetz/cld/-/cld-2.8.5.tgz	705b9483ee1068b3651d91688f187d3d2d5b3e29d8443834dffe2a5913dad045	69ac97d6b4b734cd486f697dc931cca956f62499cc9fc34a4dc74fb072bc96c3	stratified_fill	node-addon-api	large	ANALYZED	57
@eliyya/sange	1.2.0	https://registry.npmjs.org/@eliyya/sange/-/sange-1.2.0.tgz	066706d2ebd1e6e32cf9512b35421783c6612f659f0d2581566045fc3ec2344a	91bcb18e995599cfcee414a3e9922d3d9822e8c2bfc57f9250af582dd4b32774	stratified_fill	node-addon-api	medium	ANALYZED	4
@eyevinn/srt	0.8.3	https://registry.npmjs.org/@eyevinn/srt/-/srt-0.8.3.tgz	7d135c7373b0a170c71215d1e3b845849f7cfac58c81e8c2577a64af884b3878	d4a88efc336c2f614349309b4778c1611f922803a075b62bc537c6d19da2cc46	stratified_fill	node-addon-api	small	ANALYZED	2
@faressoft/node-pty-prebuilt	0.9.0	https://registry.npmjs.org/@faressoft/node-pty-prebuilt/-/node-pty-prebuilt-0.9.0.tgz	bd1271ba26222c08135a8734860d33388348535e77417080eaf75d69bf87e543	fb16b015d16c0939d5491336a00471d8e643a2a04ad8e9c9ee91a17593303bec	stratified_fill	nan	large	ANALYZED	87
@flovy/node-printer	0.6.3	https://registry.npmjs.org/@flovy/node-printer/-/node-printer-0.6.3.tgz	98a7550d5389da4bcc84d3517cd2c1c9bfc3ba77973bd1a22bad0dcf3c8c5e8a	0dbc9d3c87db19165e2aee3adfa356f143a2be1c9f974666ecd8b1edc41f2596	stratified_fill	nan	small	ANALYZED	3
@flyskywhy/react-native-gcanvas	6.0.24	https://registry.npmjs.org/@flyskywhy/react-native-gcanvas/-/react-native-gcanvas-6.0.24.tgz	e88b1d7af9c245ae61d165d73bbf6f50ae764f1cdd5df3b73d16c74e43f9d0eb	7ef8b8e428acd56e2899e3fd35b822abfe989ccd9e3ed2e93ed0d7cffef5767e	stratified_fill	node-addon-api	large	RESOURCE_LIMIT	362
@fqlan/add-example-prebuild	1.0.1	https://registry.npmjs.org/@fqlan/add-example-prebuild/-/add-example-prebuild-1.0.1.tgz	0762aae53e1e64f855b2a34e3e8ad398ee027760e886fc14d3f6b2c190a3525e	9f0bdf583823065edcab9de19ead536b352096f76d77def61d0b64cb482a330e	stratified_fill	node-addon-api	small	ANALYZED	1
