eligible corpus rows (frozen order): 494
[197/494] fast-etag-crc32@0.1.0: export=True regex_literals=5 dangerous=0 qualifies=False
[198/494] mongodb-client-encryption@7.2.1: export=True regex_literals=2 dangerous=0 qualifies=False
[199/494] @choysen/mac-system-ocr@0.2.8: export=True regex_literals=0 dangerous=0 qualifies=False
[200/494] ioctl-native@0.1.0: export=True regex_literals=0 dangerous=0 qualifies=False
[201/494] zeromq@6.6.0: export=True regex_literals=28 dangerous=0 qualifies=False
[202/494] native-hdr-histogram@1.0.0: export=True regex_literals=0 dangerous=0 qualifies=False
[203/494] koffi@3.1.6: export=True regex_literals=30 dangerous=1 qualifies=True
[204/494] kerberos@7.0.0: export=True regex_literals=11 dangerous=0 qualifies=False
[205/494] fuse-native@2.2.6: export=True regex_literals=2 dangerous=0 qualifies=False
[206/494] @nexusmods/fomod-installer-native@0.13.3: export=True regex_literals=54 dangerous=0 qualifies=False
[207/494] @stoprocent/bluetooth-hci-socket@2.3.0: export=True regex_literals=11 dangerous=0 qualifies=False
[208/494] native-is-elevated@0.9.0: export=True regex_literals=0 dangerous=0 qualifies=False
[209/494] audify@1.10.1: export=True regex_literals=43 dangerous=0 qualifies=False
[210/494] @samyok/annoy@1.1.0: export=True regex_literals=4 dangerous=0 qualifies=False
[211/494] native-reg@1.1.1: export=True regex_literals=0 dangerous=0 qualifies=False
[212/494] os-dns-native@2.0.1: export=True regex_literals=1 dangerous=0 qualifies=False
[213/494] @gristlabs/sqlite3@6.0.1-grist.1: export=True regex_literals=0 dangerous=0 qualifies=False
[214/494] rsa-keypair@2.0.2: export=False regex_literals=0 dangerous=0 qualifies=False
[215/494] @zkochan/fuse-native@0.1.0: export=True regex_literals=2 dangerous=0 qualifies=False
[216/494] utp-native@2.5.3: export=True regex_literals=2 dangerous=0 qualifies=False
[217/494] qpdf-compress@0.7.1: export=True regex_literals=17 dangerous=0 qualifies=False
[218/494] @ipshipyard/node-datachannel@0.26.6: export=True regex_literals=20 dangerous=0 qualifies=False
[219/494] @stoprocent/noble@2.8.0: export=True regex_literals=40 dangerous=0 qualifies=False
[220/494] @flyskywhy/react-native-gcanvas@6.0.24: export=True regex_literals=11208 dangerous=0 qualifies=False
[221/494] realm@20.2.0: export=True regex_literals=330 dangerous=16 qualifies=True
[222/494] ibmmq@2.1.9: export=True regex_literals=170 dangerous=0 qualifies=False
[223/494] cpu-features@0.0.10: export=True regex_literals=0 dangerous=0 qualifies=False
[224/494] pprof@5.0.0: export=True regex_literals=130 dangerous=0 qualifies=False
[225/494] @abandonware/bluetooth-hci-socket@0.5.3-12: export=True regex_literals=7 dangerous=0 qualifies=False
[226/494] java@0.18.0: export=True regex_literals=4 dangerous=0 qualifies=False
[227/494] native-watchdog@1.4.2: export=True regex_literals=0 dangerous=0 qualifies=False
[228/494] @vscode/native-watchdog@1.4.6: export=True regex_literals=0 dangerous=0 qualifies=False
[229/494] @kaciras/deasync@1.1.0: export=True regex_literals=3 dangerous=0 qualifies=False
[230/494] node-calls-python@1.13.0: export=True regex_literals=2 dangerous=0 qualifies=False
[231/494] lzma-native@8.0.6: export=True regex_literals=3 dangerous=0 qualifies=False
[232/494] @pokusew/pcsclite@0.6.0: export=True regex_literals=1 dangerous=0 qualifies=False
[233/494] execSync@1.0.2: export=True regex_literals=0 dangerous=0 qualifies=False
[234/494] lru-native2@1.2.6: export=True regex_literals=0 dangerous=0 qualifies=False
[235/494] krb5@0.5.5: export=True regex_literals=1 dangerous=0 qualifies=False
[236/494] zlib-sync@0.1.10: export=True regex_literals=0 dangerous=0 qualifies=False
[237/494] contextify@1.0.0: export=True regex_literals=0 dangerous=0 qualifies=False
[238/494] blake2@5.0.1: export=True regex_literals=2 dangerous=0 qualifies=False
[239/494] bluetooth-hci-socket@0.5.1: export=True regex_literals=3 dangerous=0 qualifies=False
[240/494] tree-sitter-gdscript@6.1.0: export=True regex_literals=16 dangerous=0 qualifies=False
[241/494] dbus@1.0.7: export=True regex_literals=1 dangerous=0 qualifies=False
[242/494] @port-labs/jq-node-bindings@1.0.6: export=True regex_literals=4 dangerous=0 qualifies=False
[243/494] png-img@5.0.1: export=True regex_literals=1 dangerous=0 qualifies=False
[244/494] node-cmake@2.5.1: export=True regex_literals=4 dangerous=0 qualifies=False
[245/494] fibers_node_v8@3.1.5: export=True regex_literals=4 dangerous=0 qualifies=False
[246/494] @meza/curseforge-fingerprint@1.1.43: export=True regex_literals=0 dangerous=0 qualifies=False
[247/494] fibers@5.0.3: export=True regex_literals=3 dangerous=0 qualifies=False
[248/494] node-zopfli-es@2.0.6: export=True regex_literals=2 dangerous=0 qualifies=False
[249/494] @automattic/yara@2.6.3: export=True regex_literals=0 dangerous=0 qualifies=False
[250/494] mariasql@0.2.6: export=True regex_literals=1 dangerous=1 qualifies=True
[251/494] hypertube-binaries@3.1.8: export=True regex_literals=0 dangerous=0 qualifies=False
[252/494] midi@2.0.0: export=True regex_literals=0 dangerous=0 qualifies=False
[253/494] nbind@0.3.15: export=True regex_literals=32 dangerous=0 qualifies=False
